"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Lamar Jackson","QB","BAL","25.1","17.4","26","23.6","33.4","19.9","34.4","24.2","23.6","32.9","15.9","22.6","25.4","BYE","36.1","21.5","29.4","23","25.6","434.4"
"2","Josh Allen","QB","BUF","31.2","9.8","30.9","7.3","14.6","24.4","21","20.8","23.1","20.2","25","BYE","28.4","51.9","41.3","12.2","23","0","22.6","385"
"3","Joe Burrow","QB","CIN","8.1","17.2","25.4","17.3","34.8","19.8","14.9","13.9","30.1","33.7","29","BYE","20.3","25.6","18.8","22","37","14","22.5","381.8"
"4","Baker Mayfield","QB","TB","29.7","19.8","9.5","28.9","23.4","28.9","29","24.3","18","8.9","BYE","18.7","12.2","21","29","23.3","34.6","22.6","22.5","381.8"
"5","Jayden Daniels","QB","WAS","28.2","13.4","28.1","25","20.7","21","5.2","22.2","19.9","8.6","14.4","32.4","28.6","BYE","23.6","36.4","32.8","4.2","21.5","364.8"
"6","Ja'Marr Chase","WR","CIN","9.2","5.5","26.8","16","36.3","9.7","15.1","15.9","7.8","49.9","23","BYE","17.6","38.1","13.9","19.4","14.7","20.6","20","339.5"
"7","Saquon Barkley","RB","PHI","32.2","15.6","31.6","12.6","BYE","6.4","25.7","11.6","31.4","8.3","32.8","44.2","18.7","14.4","8.4","27","17.9","-","21.2","338.8"
"8","Jahmyr Gibbs","RB","DET","15.4","14.1","16.3","19.8","BYE","10.6","30","19.8","14.1","11.8","18.8","23.4","9.4","16.3","25.9","23.4","24.3","43.5","19.8","336.9"
"9","Jared Goff","QB","DET","12.4","10.8","15.6","26.7","BYE","25.1","18.8","15.5","9.6","12.8","34.6","10.8","16.9","23","41.1","25.3","25.8","11.2","19.8","336"
"10","Bo Nix","QB","DEN","13","10.3","19.3","6.7","23.1","21.7","14.1","29.8","18.2","16.1","28.8","19.4","14.2","BYE","16.5","21","22.9","33.5","19.3","328.7"
"11","Derrick Henry","RB","BAL","10.6","16.1","29.9","34.4","16.1","25.2","24.7","14.2","25.8","13.6","10.5","14","12.6","BYE","6.7","19.9","23.5","29.1","19.2","326.9"
"12","Jalen Hurts","QB","PHI","18.4","24.8","11.9","16.3","BYE","21.9","22.8","35.1","29.9","30.7","18.7","15.1","17.6","24.2","28.1","4.5","-","-","21.3","320.1"
"13","Sam Darnold","QB","SEA","15.6","20.9","23.2","21.5","5.3","-","17.3","18.2","21","9.4","23.6","21.1","19.6","34.6","12.2","22.9","25.8","7.6","18.8","320"
"14","Bijan Robinson","RB","ATL","13.6","14.2","12.2","9.4","9.2","24","21.8","20.1","18","27.9","8.3","BYE","22.5","19.1","14","23.3","23.3","30.3","18.3","311.2"
"15","Kyler Murray","QB","ARI","14.2","28.5","15.8","10","25.1","12","21.2","22.2","4.8","28.7","BYE","11.3","17.2","20","10.1","21.4","18","27.9","18.1","308.2"
"16","Patrick Mahomes II","QB","KC","15.6","14.9","17.4","14","14.4","BYE","14.1","19.2","24.5","16.5","17.8","28.8","16.6","14.1","15.8","23.7","26","-","18.3","293.5"
"17","Justin Herbert","QB","LAC","10.4","12","9","11.2","BYE","13.7","14.8","24.1","19.5","19.8","24.4","17.6","8","13.7","14.8","23.2","24.4","28","17","288.4"
"18","Geno Smith","QB","LV","18.8","17.9","13.4","22.6","22.6","14.5","17.8","9.1","25.1","BYE","16.7","13.4","12.4","13.3","5.5","23.4","8.3","26.3","16.5","281"
"19","Brock Purdy","QB","SF","10.3","15","25.8","15.6","15.1","24.1","20.2","26","BYE","23.8","19.4","-","2.2","22.1","5","22.1","32.3","-","18.6","278.9"
"20","Josh Jacobs","RB","GB","11.4","13.1","5.3","9.8","15.9","10.5","17.7","25","11.8","BYE","21.4","28.6","19.7","24.6","19.6","18.7","10.9","11.1","16.2","275.1"
"21","Aaron Rodgers","QB","PIT","9.6","15.1","21","11.6","14.8","18.8","15","17.3","20.3","4","16.1","-","15","17.6","30.1","12.8","2.5","26","15.7","267.6"
"22","Justin Jefferson","WR","MIN","13.9","21.3","17.1","17.5","12.2","BYE","17.9","15.5","18.1","7.3","11.1","3.7","13.4","28.7","16.8","31.4","13.2","6.9","15.6","266"
"23","De'Von Achane","RB","MIA","19.5","26","7.3","4.4","2.2","BYE","9.5","23.7","28.1","7.7","18.5","19.1","17","15.9","11.1","28","4.8","18.1","15.3","260.9"
"24","Caleb Williams","QB","CHI","7.2","9.4","19.3","11.5","23.6","29.6","BYE","9.9","9.2","6.3","16.2","26.9","26.1","14.1","9.9","22.8","7.6","10.9","15.3","260.5"
"25","Amon-Ra St. Brown","WR","DET","2.8","17.4","17","17.8","BYE","11.7","21.2","7.7","15.1","15","33.2","9.2","9.8","7.8","30.3","16","16","10.7","15.2","258.7"
"26","Kyren Williams","RB","LAR","12.9","13.2","30.6","18.4","15","BYE","19.6","20.1","10","8.7","8.6","11.2","17.8","22.7","12.2","19.4","14.7","-","15.9","255.1"
"27","James Cook","RB","BUF","11.8","28","16.7","5.3","16.9","-","9.2","26.8","9.4","15","17.2","BYE","18.5","3.9","25.8","26.1","11.3","8.8","15.7","250.7"
"28","Jordan Love","QB","GB","17.4","-","-","31.2","17","26.6","18.8","6.7","11.9","BYE","21.2","14.7","19","14.5","17.6","11.5","14","2.8","16.3","244.9"
"29","Brian Thomas Jr.","WR","JAC","12.7","10.4","7.3","18.9","20.7","4.2","19.6","13.5","5.2","2.2","11.1","BYE","16.7","12.6","27.5","23.7","20.4","13.8","14.1","240.5"
"30","Jonathan Taylor","RB","IND","10.8","14.5","26","18.3","-","-","-","18.2","7.4","13.2","6.5","3.5","16.8","BYE","9.6","39.8","26.6","24.5","16.8","235.7"
"31","C.J. Stroud","QB","HOU","18.7","14.3","11.8","23.5","16.9","19.4","5.3","12.4","11.5","11.8","11.9","17.7","14.4","BYE","11.6","18.1","7.1","6","13.7","232.4"
"32","Alvin Kamara","RB","NO","19.5","43","14.2","21.4","9.6","14.9","5.4","15.2","24.5","13.4","10.9","BYE","13.9","10.4","15","-","-","-","16.5","231.3"
"33","Drake London","WR","ATL","2.5","14.4","15.7","9.4","27.4","16.4","15.3","5.4","9.7","13.7","7.6","BYE","12.8","9.5","12.8","8.4","14.1","35.7","13.6","230.8"
"34","James Conner","RB","ARI","17.8","18.9","3","17.8","13","4.6","16.2","13.9","13.4","19.8","BYE","7.4","9.6","20.2","28.3","24.6","1.8","-","14.4","230.3"
"35","Chase Brown","RB","CIN","3.8","3.1","7.9","22.2","14.9","13.4","6.3","10.4","24.2","17.9","16.8","BYE","17.5","21.3","24.8","12.4","11.1","-","14.3","228"
"36","Terry McLaurin","WR","WAS","2.7","5.2","18","14.7","11.4","20.3","12.8","15","14.9","13.8","1.5","18.7","23.3","BYE","22.8","14.5","1","16.2","13.3","226.8"
"37","Matthew Stafford","QB","LAR","15.7","6.6","12.8","5.9","13.4","BYE","5","25.8","18.9","10.7","27.8","19.2","15.6","20.8","8.2","7","9.2","-","13.9","222.6"
"38","Joe Mixon","RB","HOU","25.3","6.5","-","-","-","26.2","25.4","21.4","16.6","16","34.3","7","19.9","BYE","8.1","7.6","4.9","3.3","15.9","222.5"
"39","Bucky Irving","RB","TB","8.6","2.2","9.9","12","4.6","17.5","15.2","11.9","4.9","16.2","BYE","24.2","26","2.3","12.3","16.7","21","15.4","13","220.9"
"40","Chuba Hubbard","RB","CAR","1.4","9.6","25.4","20.1","15.5","12.8","11.2","8.1","20.2","22.9","BYE","14.5","2.3","18.7","6.9","30.5","-","-","14.7","220.1"
"41","Malik Nabers","WR","NYG","9.1","23.7","24.2","17.1","-","-","6.1","10.6","10.4","7.8","BYE","9.4","11.3","12.4","19.2","10.3","32.6","14.9","14.6","219.1"
