Team,Season,Original Rating,Current Rating,Win Total,Total Result,Avg. Opp. Rating,Rank,Avg. Opp. Rating,Rank,Avg. Opp. Rating,Rank
NYG,2025,-3.61432,,5.5,Active,2.13329,1,,,2.13329,1
DET,2025,5.37801,,10.5,Active,1.98816,2,,,1.98816,2
MIN,2025,2.00871,,8.5,Active,1.79705,3,,,1.79705,3
PHI,2025,6.95266,,11.5,Active,1.65954,4,,,1.65954,4
GB,2025,3.15584,,9.5,Active,1.55219,5,,,1.55219,5
CHI,2025,1.42974,,8.5,Active,1.54962,6,,,1.54962,6
CLE,2025,-5.64461,,4.5,Active,1.53855,7,,,1.53855,7
DAL,2025,-0.48614,,7.5,Active,1.45651,8,,,1.45651,8
WAS,2025,3.10129,,9.5,Active,1.40215,9,,,1.40215,9
KC,2025,6.64107,,11.5,Active,1.29742,10,,,1.29742,10
PIT,2025,1.02656,,8.5,Active,1.11408,11,,,1.11408,11
BAL,2025,6.50966,,11.5,Active,1.08188,12,,,1.08188,12
OAK,2025,-2.35555,,6.5,Active,1.01304,13,,,1.01304,13
LAC,2025,2.58063,,9.5,Active,0.892543,14,,,0.892543,14
CIN,2025,2.86463,,9.5,Active,0.88763,15,,,0.88763,15
DEN,2025,2.45136,,9.5,Active,0.817952,16,,,0.817952,16
HOU,2025,2.08186,,9.5,Active,0.476187,17,,,0.476187,17
LAR,2025,2.09736,,9.5,Active,0.243665,18,,,0.243665,18
NYJ,2025,-5.00173,,5.5,Active,0.172361,19,,,0.172361,19
IND,2025,-1.7176,,7.5,Active,0.0406677,20,,,0.0406677,20
MIA,2025,-0.489931,,8.5,Active,-0.129728,21,,,-0.129728,21
TEN,2025,-5.27465,,5.5,Active,-0.131432,22,,,-0.131432,22
BUF,2025,5.66144,,11.5,Active,-0.164521,23,,,-0.164521,23
SEA,2025,-0.461382,,8.5,Active,-0.202586,24,,,-0.202586,24
JAX,2025,-1.88898,,7.5,Active,-0.206219,25,,,-0.206219,25
ARI,2025,-0.33432,,8.5,Active,-0.252959,26,,,-0.252959,26
TB,2025,1.16194,,9.5,Active,-0.343192,27,,,-0.343192,27
CAR,2025,-4.07244,,6.5,Active,-0.529254,28,,,-0.529254,28
ATL,2025,-2.20633,,7.5,Active,-0.595168,29,,,-0.595168,29
NO,2025,-5.00123,,6.5,Active,-0.904687,30,,,-0.904687,30
NE,2025,-1.06365,,8.5,Active,-0.956869,31,,,-0.956869,31
SF,2025,1.90541,,10.5,Active,-1.30255,32,,,-1.30255,32
