"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","86","120","889","10.3","48","8","10","1","4","0","0","17","153.3","9.0","98.8%"
"2","George Kittle (SF)","65","90","1,020","15.7","66","18","6","1","2","0","0","16","138.2","8.6","99.2%"
"3","Travis Kelce (KC)","93","121","984","10.6","53","12","5","0","0","0","1","15","126.4","8.4","96.2%"
"4","T.J. Hockenson (MIN)","95","127","960","10.1","29","13","5","0","0","0","1","15","124.0","8.3","95.6%"
"5","David Njoku (CLE)","81","123","882","10.9","43","12","6","0","0","0","2","16","120.2","7.5","90.6%"
"6","Evan Engram (DEN)","114","143","963","8.4","34","9","4","0","0","0","2","17","116.3","6.8","88.0%"
"7","Taysom Hill (NO)","33","40","291","8.8","36","2","2","81","401","4","1","16","110.5","6.9","6.7%"
"8","Cole Kmet (CHI)","73","90","719","9.8","53","9","6","3","2","0","0","17","108.1","6.4","10.3%"
"9","Jake Ferguson (DAL)","71","102","761","10.7","40","8","5","0","0","0","0","17","106.1","6.2","68.7%"
"10","Trey McBride (ARI)","81","106","825","10.2","38","9","3","0","0","0","0","17","100.5","5.9","99.2%"
"11","Dalton Schultz (HOU)","59","88","635","10.8","31","7","5","0","0","0","1","15","91.5","6.1","12.1%"
"12","Mark Andrews (BAL)","45","61","544","12.1","38","8","6","1","0","0","0","10","90.4","9.0","94.0%"
"13","Kyle Pitts Sr. (ATL)","53","90","667","12.6","39","7","3","1","-4","0","0","17","84.3","5.0","63.1%"
"14","Hunter Henry (NE)","42","61","419","10.0","24","2","6","0","0","0","0","14","77.9","5.6","46.6%"
"15","Dalton Kincaid (BUF)","73","91","673","9.2","51","5","2","0","0","0","1","16","77.3","4.8","77.9%"
"16","Dallas Goedert (PHI)","59","83","592","10.0","49","6","3","1","1","0","0","14","77.3","5.5","76.9%"
"17","Jonnu Smith (PIT)","50","70","582","11.6","60","4","3","1","0","0","1","17","74.2","4.4","62.9%"
"18","Logan Thomas (FA)","55","78","496","9.0","29","3","4","1","2","0","2","16","71.8","4.5","0.0%"
"19","Isaiah Likely (BAL)","30","40","411","13.7","54","6","5","0","0","0","0","17","71.1","4.2","33.9%"
"20","Cade Otton (TB)","47","67","455","9.7","27","6","4","0","0","0","1","17","69.5","4.1","21.1%"
"21","Tyler Conklin (LAC)","61","87","621","10.2","37","7","0","1","0","0","0","17","62.1","3.7","5.7%"
"22","Tyler Higbee (LAR)","47","70","495","10.5","33","6","2","0","0","0","0","15","61.5","4.1","8.1%"
"23","Darren Waller (MIA)","52","74","552","10.6","29","8","1","0","0","0","0","12","61.2","5.1","20.1%"
"24","Juwan Johnson (NO)","37","59","368","9.9","32","7","4","0","0","0","0","13","60.8","4.7","8.9%"
"25","Gerald Everett (FA)","51","70","411","8.1","31","4","3","3","10","0","0","15","60.1","4.0","1.4%"
"26","Chig Okonkwo (TEN)","54","77","528","9.8","39","6","1","2","6","0","0","17","59.4","3.5","18.4%"
"27","Donald Parham Jr. (PIT)","27","41","285","10.6","24","2","4","0","0","0","0","14","52.5","3.8","1.0%"
"28","Tucker Kraft (GB)","31","40","355","11.5","43","5","2","0","0","0","0","17","47.5","2.8","81.4%"
"29","Pat Freiermuth (PIT)","32","47","308","9.6","29","3","2","0","0","0","0","12","44.8","3.7","23.9%"
"30","Michael Mayer (LV)","27","40","304","11.3","32","2","2","0","0","0","0","14","44.4","3.2","4.6%"
"31","Kylen Granson (PHI)","30","50","368","12.3","46","5","1","1","2","0","0","15","43.0","2.9","0.7%"
"32","Noah Gray (KC)","28","41","305","10.9","34","4","2","1","1","0","0","17","42.6","2.5","6.9%"
"33","Noah Fant (CIN)","32","43","414","12.9","51","7","0","0","0","0","0","17","41.4","2.4","6.4%"
"34","Luke Musgrave (GB)","34","46","352","10.4","37","5","1","0","0","0","0","11","41.2","3.7","3.1%"
"35","Tanner Hudson (CIN)","39","50","352","9.0","26","3","1","0","0","0","0","12","41.2","3.4","1.2%"
"36","Adam Trautman (DEN)","22","35","204","9.3","24","2","3","0","0","0","0","17","38.4","2.3","0.7%"
"37","Tommy Tremble (CAR)","23","32","194","8.4","30","2","3","0","0","0","0","16","37.4","2.3","0.6%"
"38","Colby Parkinson (LAR)","25","34","247","9.9","27","5","2","0","0","0","0","15","36.7","2.4","1.1%"
"39","Durham Smythe (CHI)","35","43","366","10.5","22","3","0","0","0","0","0","13","36.6","2.8","0.6%"
"40","Mike Gesicki (CIN)","29","45","244","8.4","18","0","2","0","0","0","0","15","36.4","2.4","19.3%"
"41","Mo Alie-Cox (IND)","13","22","161","12.4","35","2","3","0","0","0","0","17","36.1","2.1","0.6%"
"42","Brevin Jordan (HOU)","17","21","219","12.9","27","3","2","0","0","0","0","13","33.9","2.6","0.6%"
"43","Dawson Knox (BUF)","22","36","186","8.5","17","0","2","0","0","0","0","12","32.6","2.7","2.9%"
"44","Josh Oliver (MIN)","22","28","213","9.7","33","3","2","0","0","0","1","17","31.3","1.8","1.1%"
"45","Drew Sample (CIN)","22","27","163","7.4","22","1","2","0","0","0","0","17","28.3","1.7","0.6%"
"46","Jimmy Graham (FA)","6","7","39","6.5","12","0","4","0","0","0","0","6","27.9","4.7","0.0%"
"47","Andrew Beck (NYJ)","11","13","55","5.0","26","1","2","5","3","1","1","13","27.8","2.1","0.0%"
"48","Drew Ogletree (IND)","9","21","147","16.3","33","4","2","0","0","0","0","12","26.7","2.2","1.1%"
"49","Daniel Bellinger (NYG)","25","28","255","10.2","26","4","0","0","0","0","0","17","25.5","1.5","1.1%"
"50","Foster Moreau (NO)","21","25","193","9.2","23","1","1","0","0","0","0","15","25.3","1.7","0.9%"
"51","Harrison Bryant (PHI)","13","20","81","6.2","23","1","3","5","8","0","1","15","24.9","1.7","0.0%"
"52","Pharaoh Brown (MIA)","13","15","208","16.0","58","5","1","0","0","0","1","11","24.8","2.3","0.1%"
"53","Zach Ertz (WAS)","27","43","187","6.9","17","0","1","0","0","0","0","7","24.7","3.5","42.6%"
"54","Hayden Hurst (FA)","18","32","184","10.2","48","1","1","0","0","0","0","10","24.4","2.4","1.3%"
"55","Austin Hooper (NE)","25","31","234","9.4","21","2","0","0","0","0","0","16","23.4","1.5","2.4%"
"56","Will Dissly (LAC)","17","22","172","10.1","21","2","1","0","0","0","0","13","23.2","1.8","3.4%"
"57","Johnny Mundt (JAC)","17","23","172","10.1","32","2","1","0","0","0","0","11","23.2","2.1","0.1%"
"58","Elijah Higgins (ARI)","14","19","163","11.6","26","3","1","0","0","0","0","11","22.3","2.0","0.9%"
