"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Keaton Mitchell (BAL)","15","30","2.0","7","0","0","1","1","28","28.0","0","0","4","5.8","1.5","9.2%"
"2","Hassan Haskins (LAC)","34","89","2.6","12","0","2","3","3","49","16.3","1","1","15","29.8","2.0","0.6%"
"3","Ty Johnson (BUF)","41","213","5.2","19","0","1","18","25","284","15.8","3","0","17","73.7","4.3","2.7%"
"4","Jacob Kibodi (FA)","5","24","4.8","17","0","0","1","3","15","15.0","0","0","1","3.9","3.9","0.0%"
"5","Craig Reynolds (DET)","31","139","4.5","19","0","0","3","5","40","13.3","0","0","14","17.9","1.3","0.7%"
"6","Blake Watson (DEN)","4","10","2.5","7","0","0","1","2","13","13.0","0","0","3","2.3","0.8","1.1%"
"7","Kimani Vidal (LAC)","43","155","3.6","19","0","0","5","9","62","12.4","1","0","10","27.7","2.8","1.7%"
"8","Sione Vaki (DET)","6","14","2.3","7","0","0","3","3","37","12.3","0","0","12","5.1","0.4","0.6%"
"9","Sean Tucker (TB)","50","308","6.2","36","2","2","9","12","109","12.1","1","0","17","59.7","3.5","4.5%"
"10","Chris Rodriguez Jr. (WAS)","35","173","4.9","25","1","2","1","1","12","12.0","0","0","8","30.5","3.8","0.8%"
"11","Samaje Perine (CIN)","20","92","4.6","13","0","1","28","35","322","11.5","1","0","17","53.4","3.1","2.5%"
"12","Ray Davis (BUF)","113","442","3.9","23","2","3","17","19","189","11.1","3","0","17","99.1","5.8","32.8%"
"13","Myles Gaskin (BAL)","3","-1","-0.3","2","0","0","1","1","11","11.0","0","0","4","1.0","0.3","0.0%"
"14","Austin Ekeler (WAS)","77","367","4.8","50","4","4","35","41","366","10.5","0","0","12","97.3","8.1","53.3%"
"14","Kyle Juszczyk (SF)","5","26","5.2","14","0","1","19","31","200","10.5","2","1","17","38.6","2.3","0.9%"
"16","Dare Ogunbowale (HOU)","30","112","3.7","35","1","0","19","28","198","10.4","1","0","17","37.0","2.2","0.7%"
"17","Derrick Henry (BAL)","325","1,921","5.9","87","19","16","19","22","193","10.2","2","1","17","317.4","18.7","99.4%"
"18","Isaac Guerendo (SF)","84","420","5.0","76","2","4","15","16","152","10.1","0","1","16","79.2","5.0","36.4%"
"19","Jermar Jefferson (TEN)","6","22","3.7","8","0","0","1","1","10","10.0","0","0","2","3.2","1.6","0.6%"
"19","Dalvin Cook (FA)","8","20","2.5","4","0","0","1","1","10","10.0","0","0","2","3.0","1.5","0.6%"
"21","Jahmyr Gibbs (DET)","250","1,412","5.6","70","13","16","52","63","517","9.9","4","1","17","310.9","18.3","99.6%"
"22","Trey Benson (ARI)","63","291","4.6","20","1","1","6","6","59","9.8","0","0","13","41.0","3.2","39.0%"
"23","Christian McCaffrey (SF)","50","202","4.0","19","0","0","15","19","146","9.7","0","1","4","32.8","8.2","99.2%"
"24","Josh Jacobs (GB)","301","1,329","4.4","38","7","15","36","43","342","9.5","1","3","17","257.1","15.1","99.3%"
"24","David Montgomery (DET)","185","775","4.2","21","1","12","36","38","341","9.5","0","1","14","185.7","13.3","93.1%"
"26","Hunter Luepke (DAL)","12","38","3.2","10","0","0","12","16","111","9.3","0","0","16","14.9","0.9","0.7%"
"27","D'Andre Swift (CHI)","253","959","3.8","56","5","6","42","52","386","9.2","0","0","17","172.5","10.1","88.9%"
"28","Justice Hill (BAL)","47","228","4.9","51","2","1","42","51","383","9.1","3","0","15","85.1","5.7","14.4%"
"29","Antonio Gibson (NE)","120","538","4.5","45","4","1","23","29","206","9.0","0","0","17","80.4","4.7","3.5%"
"29","D'Onta Foreman (FA)","71","232","3.3","25","1","0","6","8","54","9.0","0","1","10","26.6","2.7","2.7%"
"31","James Conner (ARI)","236","1,094","4.6","53","6","8","47","55","414","8.8","1","1","16","206.8","12.9","93.6%"
"31","Will Shipley (PHI)","30","82","2.7","9","0","0","4","4","35","8.8","0","0","13","11.7","0.9","10.4%"
"33","Alec Ingold (MIA)","10","17","1.7","6","0","1","11","12","96","8.7","0","1","15","15.3","1.0","0.6%"
"34","Joe Mixon (HOU)","245","1,016","4.1","59","8","11","36","52","309","8.6","1","0","14","204.5","14.6","92.1%"
"35","Breece Hall (NYJ)","209","876","4.2","42","3","5","57","76","483","8.5","3","2","16","183.9","11.5","96.3%"
"35","Raheem Mostert (LV)","85","278","3.3","21","1","2","19","23","161","8.5","0","2","13","51.9","4.0","8.1%"
"37","Saquon Barkley (PHI)","345","2,005","5.8","72","17","13","33","43","278","8.4","2","1","16","322.3","20.1","99.5%"
"38","Bucky Irving (TB)","207","1,122","5.4","56","8","8","47","52","392","8.3","0","1","17","197.4","11.6","99.0%"
"38","Jordan Mason (MIN)","153","789","5.2","38","9","3","11","14","91","8.3","0","1","12","104.0","8.7","72.1%"
"38","Isaiah Davis (NYJ)","30","174","5.8","20","1","1","9","12","75","8.3","1","0","14","36.9","2.6","3.0%"
"38","Patrick Taylor Jr. (SF)","39","183","4.7","29","1","1","3","11","25","8.3","0","0","9","26.8","3.0","0.7%"
"38","Blake Corum (LAR)","58","207","3.6","12","0","0","7","8","58","8.3","0","0","15","26.5","1.8","15.3%"
